المنشأة التدريبية,المنطقة,المدينة,latitude,longitude
الكلية التقنية بالرياض,الرياض,الرياض,24.7136,46.6753
الكلية التقنية بجدة,مكة,جدة,21.2854,39.2376
الكلية التقنية بمكة,مكة,مكة,21.4225,39.8262
الكلية التقنية بالمدينة المنورة,المدينة المنورة,المدينة المنورة,24.4686,39.6123
الكلية التقنية بالخبر,الشرقية,الخبر,26.2154,50.1862
الكلية التقنية بالدمام,الشرقية,الدمام,26.4207,49.9777
الكلية التقنية بالطائف,مكة,الطائف,21.2854,40.3914
الكلية التقنية ببريدة,القصيم,بريدة,26.3325,43.9742
الكلية التقنية بأبها,عسير,أبها,18.2166,42.5053
الكلية التقنية بالأحساء,الشرقية,الأحساء,25.4788,49.5423
